video_id,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4,action,lemma,lemma_id
8968804598,332,640,360,why is the blue sweater guy looking at the shirtless men,4,0,CW,sharing with his friends,found the man funny,poor vision,keep hands warm,training,looking,look,28
4177168857,1389,360,480,why did the baby grab the man s ear and hair,1,1,CW,to sing,play with the man,stabilize the baby,wave the horse,want to play,grab,grab,86
4597414801,2697,640,480,what does the lady do after shaking her body for a while in the middle,0,7,TN,pet the cat,let go of cat,went upstairs,play with dogs,continue cycling,shaking,shake,140
6349106171,1780,604,1072,why are the men squinting their eyes,3,2,CW,stage light too bright,underwater,to pose for pictures,sunny,in spectacles shop,squinting,squint,70
5858839474,821,640,360,how did the boy in stripped open the book to see its contents,3,9,CH,with a bookmark,asked the girl for help,observe the book,flip the pages,stare at the book,flip,flip,96
12031151404,608,640,1138,why did the guy put his left leg on the steps,2,2,CW,play game,as support,posing,try to kick her,pedalling bicycle,put,put,160
2622813876,915,640,480,what does the baby do after the adult put down the bottle near the middle,0,2,TN,grab bottle,look down,smile,cry,jump,put,put,160
5806747559,1991,640,360,what does the woman do after opening the notes on her hands,0,7,TN,smile,jump,stood up,walk to camera,stands up,opening,open,139
6595307655,1170,640,480,why is the lighter brown dog lying on the floor at the start of the video,2,4,CW,imbalanced,sniffing the ground,playing,waiting for treats,playing with sheep,lying,lie,57
9069281283,303,640,360,what does the man in the middle do after climbing up the stairs,0,0,TN,look at camera,walked off,walks in,touched his shoulders,look down,climbing,climb,131
5585306763,1157,640,360,why was the bald headed man unable to catch the ball after the the boy with red pants threw ball,0,5,CW,throw too high up,not ready for the game,to defend his team,ball was thrown to another side,hands were occupied,catch,catch,86
9583453634,1145,640,360,how did the man react after the crocodile open its mouth near him,0,1,TN,ran behind,excited,make it do tricks,lifts up his leg,straighten up his legs,open,open,139
13312922233,1159,640,1138,what did the boy do after putting his finger to his mouth,4,7,TN,bend his back,reach for the airconditioners,move cameras,touch the cat,open his palm,putting,put,160
7835628046,1773,640,360,what does the boy do after bending down,0,7,TN,play with toy,performing,lean and look forward,touch man s hoodie,water ride,bending,bend,156
3396663702,529,640,474,why does the baby keeps moving his hands and legs after falling,2,2,CW,move closer to him,play with the toy,fidgeting,sleepy,new to walking,keeps,keep,149
8968804598,332,640,360,why are the men walking in synchronisation,0,1,CW,exercising,found what he wanted,prevent falling off,not part of the group,performance,walking,walk,159
5176535833,2697,640,360,why did the girls throw the crushed papers from the box around,2,1,CW,to clean the floor,to draw on the paper,paper blocking them,to play with dog,easier to put things in,throw,throw,143
5436130345,1680,640,424,why does the boy put his tongue out towards the end,1,2,CW,to throw out,playful,speak to someone,finish singing,show by man in black,put,put,160
6624894833,853,640,360,what does the white car in front do after driving in one lane for a while,3,6,TN,watching the other car,stays still,look at police car,change lane,watch jeep,driving,drive,89
3023021780,664,500,375,why does the girl raise her arm higher up at the end,1,3,CW,moving baby s hands,playing,holding the dog s collar,adjusting self stick,interacting with audience,raise,raise,137
11396390844,494,640,360,why are the two men staring downwards,3,4,CW,look at the book,adjust something,taking photos,looking at paper,look at the cameraman,staring,star,94
5332533757,1351,640,480,why do the men in black constantly hold onto the metal throughout the video,3,1,CW,lighting weights,want to test strength,part of performance,support metal structure,show where to hit,hold,hold,4
5558701375,2697,480,640,what does the lady in green do after the girl walks away at the start,4,6,TN,look at camera,she bows twice,push the board away,lie on the ground,follow girl,walks,walk,159
11049178966,5383,640,360,what does the man do after putting the cup of water down,1,2,TN,stops drinking,start playing the instruments,swirl the drink,smile,closes the tap,putting,put,160
2413341572,2181,640,480,why does the man in red hoodie put his both hands up nearing the end,0,4,CW,instructed by bespectacled man,need to play the drum,acknowledge,on ship,tourist,put,put,160
10542271055,602,640,360,what did the girl in brown do after the girl in blue pointed at a direction in the middle of the video,3,5,TN,smiles at the baby,run away,pick up something,swing her arms,pick up leaves,pointed,point,147
4154183202,783,640,360,how does the girl keep herself from falling down,0,8,CH,hold onto toy for support,mask,thick clothes,hold her hand,hold onto table,hold,hold,4
4943421690,1101,640,360,how does the girl control the direction of the toy vehicle at the start of the video,3,1,CH,pull the rope,hold up string,with support of the toy,turn the handle bars,using her toes,turn,turn,157
5614883965,1785,640,360,why did the adult touch the cabinet door after the baby sits down,3,2,CW,resting,dance,pick up the white thing,prevent baby from bumping head,trying to reach the height,touch,touch,154
5350306994,1683,640,360,why did the baby put the bottle into his mouth after touching it,3,0,CW,to show he was finished,for fun,to lick it,to drink,to ask for more milk,put,put,160
3654268385,828,640,480,why is there a boy standing beside the boys and not holding on to any puppets,2,4,CW,busy playing with baby,hot weather,support the others,instructors,to keep it dry,standing,stand,158
6802113321,1408,568,320,why did the book fall off the baby s hand in the middle of her reading the book,1,1,CW,boy hit book,lost grip,dog pull,book tear,book slippery,fall,fall,127
3091550860,1650,640,480,how did the man in hat show the bottle to the camera,4,7,CH,take a drinlk,handles on the machine,riding the cycle,hug the woman,pick up bottle,pick,pick,152
5842920195,1756,640,480,why did the lady bend down at the end of the video,2,4,CW,put something on the floor,drag the red box,carry girl,picking something,indicating to the camera man,bend,bend,156
5500850753,452,640,480,what did the lady in green do after she checked the steam,3,5,TN,raised up both hands,touch the toy,try to pull it open,talk to the people,take out clothes,checked,check,28
3894379966,1683,640,360,what does the boy do after looking down at the start,2,6,TN,walks away,sing,bend his back,eating,playing driving game,looking,look,28
12754064355,750,640,360,what does the boy in stripes do after clapping in the middle,1,6,TN,tired,turn around,move his hands to other chair,laughs back,smiles,clapping,clap,134
3229982634,885,640,480,why do the women laugh towards the end,4,4,CW,playing with balloons,find their poses funny,read something fuuny,speak something interesting,happy,laugh,laugh,121
4284211659,1069,640,480,why does the child walk over to the sofa,0,0,CW,climb sofa,comfortable,playing with it,to find the dog,close to him,walk,walk,159
2715505162,2478,500,375,why are the girls laughing,4,5,CW,gesturing,look good in camera,satisfied,playing,fun activity,laughing,laugh,121
5128771839,1197,480,640,why do the children put up his hands at the beginning of the video,2,0,CW,boy played with him,yawn,to put the safety bar,balance to stand,to check the water level,put,put,160
7517856842,1003,640,360,how does the lady in grey use the toy,2,2,CH,train,throw it away,play like chapteh,stroke the dog,remote control,play,play,141
6149161928,2690,640,480,why did the children wear party hats in the party,2,0,CW,photoshoott,fashion,celebration,celebrate national day,performing,wear,wear,5
4698087865,1340,320,240,how did the lady make music with the instrument in her hand,4,0,CH,read from music sheet,hit instrument with sticks,look at the screen,big gesture,strum the guitar,strum,strum,64
2443708558,774,640,480,why did the performers stay at one pose for a while,0,4,CW,last pose,get picture taken,dancing,more comfortable playing athe their spots,change posture to support baby,stay,stay,95
3148635011,1300,640,480,what does the boy do after walking for a while at the end,4,8,TN,walk forward,look towards the right,illustrate his points,kiss the boy,pick up something else,walking,walk,159
4442953867,2697,640,480,why did the girl throw the two toys sitting on the box to the floor at the beginning of the video,4,4,CW,to play with the baby,for support,get baby s attention,get ready to catch ball,remove them from box,throw,throw,143
7072821449,1242,568,320,what did the boy do after he kissed the girl s stomach,2,5,TN,stand up,scratch head,pat her stomach,put it in his mouth,sway his body,kissed,kiss,122
7209064294,1170,640,480,why did the girl wearing pink put her finger in her mouth after being turned to her left,1,4,CW,play with it,hungry,talking about it,check on friends,satisfied,wearing,wear,5
3863283218,1695,640,480,what did the girl do after she touched the string attached to her chair,2,10,TN,drink,jump,point finger,put hand down,put string aside,touched,touch,154
3953392688,839,320,240,what did the boy in blue tried to do after he saw the boy in green jumped up the bed,0,9,TN,follow the boy in green,run towards the baby,slide down,grab toy,went into the house,saw,saw,28
5088084660,723,640,360,why did the girl bend forward in themiddle of the video,0,4,CW,to get closer to camera,support baby,pick up hat,to talk loudler,adjust the posture of the girl,bend,bend,156
